year,month,day,time,latitude,longitude,wind_dir,wind_speed,gust,pressure,pressure_tendency,air_temp,water_temp,dew_point,wave_height,wave_period
2026,3,11,1500,37.24,126.02,320,4.0,MM,MM,MM,4.1,5.1,MM,0.0,0
2026,3,11,1400,37.24,126.02,290,3.0,MM,MM,MM,4.0,5.1,MM,0.0,0
2026,3,11,1300,37.24,126.02,320,3.0,MM,MM,MM,4.0,5.1,MM,0.0,0
2026,3,11,1200,37.24,126.02,310,2.0,MM,MM,MM,3.9,5.1,MM,0.0,0
2026,3,11,1100,37.24,126.02,340,2.0,MM,MM,MM,4.0,5.1,MM,0.0,0
2026,3,11,1000,37.24,126.02,300,2.0,MM,MM,MM,4.1,5.1,MM,0.0,0
2026,3,11,900,37.24,126.02,310,2.0,MM,MM,MM,4.1,5.1,MM,0.0,0
2026,3,11,800,37.24,126.02,330,2.0,MM,MM,MM,4.1,5.2,MM,0.0,0
2026,3,11,700,37.24,126.02,330,3.0,MM,MM,MM,4.2,5.1,MM,0.0,0
2026,3,11,600,37.24,126.02,350,2.0,MM,MM,MM,4.1,5.1,MM,0.0,0
2026,3,11,500,37.24,126.02,330,2.0,MM,MM,MM,4.2,5.1,MM,0.0,0
2026,3,11,400,37.24,126.02,250,0.0,MM,MM,MM,6.3,5.2,MM,0.0,0
2026,3,11,300,37.24,126.02,160,1.0,MM,MM,MM,4.5,5.3,MM,0.0,0
2026,3,11,200,37.24,126.02,140,2.0,MM,MM,MM,3.8,5.2,MM,0.0,0
2026,3,11,100,37.24,126.02,120,3.0,MM,MM,MM,3.8,5.1,MM,0.0,0
2026,3,11,0,37.24,126.02,160,2.0,MM,MM,MM,3.6,5.1,MM,0.0,0
2026,3,10,2300,37.24,126.02,170,3.0,MM,MM,MM,3.5,5.0,MM,0.0,0
2026,3,10,2200,37.24,126.02,180,2.0,MM,MM,MM,3.4,5.0,MM,0.0,0
2026,3,10,2100,37.24,126.02,140,2.0,MM,MM,MM,3.3,5.0,MM,0.0,0
2026,3,10,2000,37.24,126.02,140,3.0,MM,MM,MM,3.3,5.1,MM,0.0,0
2026,3,10,1900,37.24,126.02,130,3.0,MM,MM,MM,3.2,5.2,MM,0.0,0
2026,3,10,1800,37.24,126.02,140,2.0,MM,MM,MM,3.4,5.1,MM,0.0,0
2026,3,10,1700,37.24,126.02,150,1.0,MM,MM,MM,3.5,5.2,MM,0.0,0
2026,3,10,1600,37.24,126.02,200,1.0,MM,MM,MM,3.4,5.0,MM,0.0,0
2026,3,10,1500,37.24,126.02,150,1.0,MM,MM,MM,3.3,5.1,MM,0.0,0
2026,3,10,1400,37.24,126.02,140,2.0,MM,MM,MM,3.2,5.1,MM,0.0,0
2026,3,10,1300,37.24,126.02,180,1.0,MM,MM,MM,3.5,5.0,MM,0.0,0
2026,3,10,1200,37.24,126.02,180,1.0,MM,MM,MM,3.5,5.0,MM,0.0,0
2026,3,10,1100,37.24,126.02,180,2.0,MM,MM,MM,3.6,4.9,MM,0.0,0
2026,3,10,1000,37.24,126.02,200,2.0,MM,MM,MM,3.8,5.0,MM,0.0,0
2026,3,10,900,37.24,126.02,240,1.0,MM,MM,MM,4.0,5.0,MM,0.5,0
2026,3,10,800,37.24,126.02,280,2.0,MM,MM,MM,4.4,5.2,MM,0.5,0
2026,3,10,700,37.24,126.02,300,2.0,MM,MM,MM,4.3,5.2,MM,0.5,0
2026,3,10,600,37.24,126.02,270,1.0,MM,MM,MM,4.7,5.0,MM,0.0,0
2026,3,10,500,37.24,126.02,280,2.0,MM,MM,MM,4.3,5.0,MM,0.5,0
2026,3,10,400,37.24,126.02,270,2.0,MM,MM,MM,4.2,5.0,MM,0.5,0
2026,3,10,300,37.24,126.02,270,2.0,MM,MM,MM,4.1,5.1,MM,0.0,0
2026,3,10,200,37.24,126.02,270,2.0,MM,MM,MM,4.0,5.3,MM,0.5,0
2026,3,10,100,37.24,126.02,270,0.0,MM,MM,MM,4.5,5.2,MM,0.5,0
2026,3,10,0,37.24,126.02,300,1.0,MM,MM,MM,3.6,5.0,MM,0.5,0
2026,3,9,2300,37.24,126.02,310,3.0,MM,MM,MM,3.4,5.0,MM,0.5,0
2026,3,9,2200,37.24,126.02,310,2.0,MM,MM,MM,3.3,5.0,MM,0.5,0
2026,3,9,2100,37.24,126.02,320,3.0,MM,MM,MM,3.4,4.9,MM,0.5,0
2026,3,9,2000,37.24,126.02,330,3.0,MM,MM,MM,3.5,4.9,MM,0.5,0
2026,3,9,1900,37.24,126.02,340,2.0,MM,MM,MM,3.6,4.9,MM,0.5,0
2026,3,9,1800,37.24,126.02,340,4.0,MM,MM,MM,3.6,4.9,MM,0.5,0
2026,3,9,1700,37.24,126.02,330,5.0,MM,MM,MM,3.7,5.0,MM,0.5,0
2026,3,9,1600,37.24,126.02,330,6.0,MM,MM,MM,3.8,4.9,MM,0.5,0
2026,3,9,1500,37.24,126.02,330,5.0,MM,MM,MM,3.8,5.0,MM,0.5,0
2026,3,9,1400,37.24,126.02,330,6.0,MM,MM,MM,3.8,5.0,MM,0.5,0
2026,3,9,1300,37.24,126.02,330,7.0,MM,MM,MM,4.0,4.9,MM,0.5,0
2026,3,9,1200,37.24,126.02,340,8.0,MM,MM,MM,4.1,5.0,MM,0.5,0
2026,3,9,1100,37.24,126.02,330,8.0,MM,MM,MM,4.2,5.0,MM,0.5,0
2026,3,9,1000,37.24,126.02,330,8.0,MM,MM,MM,4.3,4.9,MM,0.5,0
2026,3,9,900,37.24,126.02,310,8.0,MM,MM,MM,4.1,5.0,MM,1.0,0
2026,3,9,800,37.24,126.02,310,9.0,MM,MM,MM,3.9,5.0,MM,1.0,0
2026,3,9,700,37.24,126.02,310,9.0,MM,MM,MM,3.7,5.0,MM,1.0,0
2026,3,9,600,37.24,126.02,310,8.0,MM,MM,MM,3.9,5.0,MM,0.5,0
2026,3,9,500,37.24,126.02,320,8.0,MM,MM,MM,3.9,4.9,MM,0.5,0
2026,3,9,400,37.24,126.02,330,7.0,MM,MM,MM,3.6,4.9,MM,0.5,0
2026,3,9,300,37.24,126.02,330,6.0,MM,MM,MM,3.3,4.9,MM,0.5,0
2026,3,9,200,37.24,126.02,330,7.0,MM,MM,MM,3.2,4.9,MM,0.5,0
2026,3,9,100,37.24,126.02,330,6.0,MM,MM,MM,3.3,4.9,MM,0.5,0
2026,3,9,0,37.24,126.02,350,7.0,MM,MM,MM,3.3,4.9,MM,0.5,0
2026,3,8,2300,37.24,126.02,340,7.0,MM,MM,MM,3.5,4.9,MM,0.5,0
2026,3,8,2200,37.24,126.02,340,6.0,MM,MM,MM,3.6,4.9,MM,0.0,0
2026,3,8,2100,37.24,126.02,340,6.0,MM,MM,MM,3.9,4.9,MM,0.0,0
2026,3,8,2000,37.24,126.02,310,4.0,MM,MM,MM,4.2,4.9,MM,0.0,0
2026,3,8,1900,37.24,126.02,290,2.0,MM,MM,MM,4.0,4.8,MM,0.0,0
2026,3,8,1800,37.24,126.02,280,2.0,MM,MM,MM,3.9,4.9,MM,0.0,0
2026,3,8,1700,37.24,126.02,300,3.0,MM,MM,MM,4.0,4.9,MM,0.0,0
2026,3,8,1600,37.24,126.02,320,4.0,MM,MM,MM,3.9,4.9,MM,0.0,0
2026,3,8,1500,37.24,126.02,310,3.0,MM,MM,MM,3.9,4.9,MM,0.0,0
2026,3,8,1400,37.24,126.02,320,4.0,MM,MM,MM,3.8,4.9,MM,0.0,0
2026,3,8,1300,37.24,126.02,290,4.0,MM,MM,MM,3.5,4.9,MM,0.0,0
2026,3,8,1200,37.24,126.02,290,5.0,MM,MM,MM,3.3,4.9,MM,0.0,0
2026,3,8,1100,37.24,126.02,280,5.0,MM,MM,MM,3.1,4.9,MM,0.0,0
